i made this 
8119 5550 2
491 5211 1
13776 19501 2
16338 16988 2
6593 19306 2
19306 6593 2
7904 8237 2
4271 6028 2
10613 16414 2
13814 505 2
14949 11751 2
4271 15277 2
7568 10835 2
13562 10316 2
16831 4545 2
1341 17366 2
11126 16636 2
16636 11126 2
17366 1341 2
1638 8763 2
16315 8833 2
19460 7909 2
2856 11623 2
5636 77 2
12136 13228 2
13319 5497 2
14996 6683 2
945 10793 2
1202 10737 2
1301 7880 2
3348 9328 2
3986 10155 2
5366 14833 2
7961 8925 2
8590 16718 2
8695 1668 2
9998 2131 2
10695 2322 2
11458 6961 2
16208 14830 2
17326 9650 2
18295 14975 2
19082 7188 2
727 8829 2
2123 7857 2
2627 12955 2
3223 17253 2
6000 18157 2
7857 2123 2
8829 727 2
12955 2627 2
17253 3223 2
18157 6000 2
1583 6142 2
1898 15103 2
2318 7724 2
2318 9301 2
6884 17524 2
8237 9460 2
8362 7724 2
10872 14268 2
11226 4758 2
15494 12812 2
17253 9888 2
18045 11013 2
18157 15515 2
18414 14347 2
207 603 2
679 5786 2
727 18752 2
2414 2899 2
6806 17908 2
6911 18689 2
10525 12756 2
16177 14650 2
17601 9486 2
2123 11203 2
2414 6199 2
4157 5576 2
8589 10164 2
9457 10945 2
10228 6630 2
11199 18212 2
12359 4359 2
13955 3777 2
16083 12687 2
16936 2635 2
16936 11124 2
17767 3566 2
17998 11648 2
18126 5707 2
18239 9208 1
18366 6935 2
18380 7116 2
386 2770 2
1207 1228 2
2164 11973 2
2364 10224 1
3098 6239 2
3728 4865 2
4589 9543 2
5957 17816 2
7331 12129 2
7404 513 1
7524 14473 1
7705 1236 2
8009 3153 2
8733 1056 2
8746 11902 2
9407 4338 2
11112 15996 2
13636 15620 2
14279 17816 2
15004 17233 2
15301 11362 2
15482 16148 2
15684 13140 2
15917 16188 2
16003 501 2
17463 12241 2
17796 12241 2
17983 17391 2
18362 19982 2
18437 965 2
18743 15023 2
19607 1059 2
